Tempo,DaystoTop,Valence1,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Popularity,Song_ID,Genre,Acousticness,Valence,Chord,EndHighWeek,HighestPos
93.992,6 days,3,1,1,1,1,1,1,1,1,1,1,1,1
93.992,57 days,2,1,1,1,1,1,1,1,1,1,1,1,1
93.995,14 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.003,70 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.004,14 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.004,134 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.009,266 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.01,217 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.011,5 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.012,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.018,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.018,106 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.024,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.026,6 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.036,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.053,13 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.059,42 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.06,314 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.104,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.148,133 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.219,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
94.518,23082 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.634,8 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.736,14812 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.736,14833 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.775,2968 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.926,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.927,8 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.949,584 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.966,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.983,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
94.984,17 days,2,1,1,1,1,1,1,1,1,1,1,1,1
94.995,8 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.998,42 days,3,1,1,1,1,1,1,1,1,1,1,1,1
94.998,147 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.007,157 days,1,1,1,1,1,1,1,1,1,1,1,1,1
95.01,1253 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.016,7 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.027,5057 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.032,7 days,0,1,1,1,1,1,1,1,1,1,1,1,1
95.05,1246 days,0,1,1,1,1,1,1,1,1,1,1,1,1
95.114,56 days,3,1,1,1,1,1,1,1,1,1,1,1,1
95.39,238 days,2,1,1,1,1,1,1,1,1,1,1,1,1
95.466,7 days,1,1,1,1,1,1,1,1,1,1,1,1,1
