Pop,DaystoTop,Valence5,Highest_Charting_Position,Number_of_Times_Charted,Release_Date,Song_Name,Song_ID,Genre,Acousticness,Tempo,Valence,Chord,EndHighWeek,HighestPos,Valence1,Valence2,Valence3,Valence4
3,11 days,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,11 days,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,11 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,11 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,11 days,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,12 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,13 days,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,13 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,13 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,14 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,14 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,14 days,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,14 days,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,14 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,14 days,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,14 days,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,14 days,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,15 days,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,15 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,18 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,20 days,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,20 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,21 days,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,21 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,21 days,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,21 days,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,21 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,21 days,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,21 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,21 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,21 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,22 days,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,22 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,22 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,23 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,25 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,25 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,26 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,27 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,28 days,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,28 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,28 days,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,28 days,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,28 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,28 days,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,28 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,29 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,29 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,30 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,30 days,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,32 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,34 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,35 days,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,35 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,35 days,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,35 days,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,35 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,36 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,36 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,36 days,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,39 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,41 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,41 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,42 days,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,42 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,42 days,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,42 days,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,42 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,42 days,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,42 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,42 days,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,43 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,44 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,44 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,45 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,46 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,46 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,49 days,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,49 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,49 days,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,49 days,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,49 days,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,49 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,51 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,55 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,56 days,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,56 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,56 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,56 days,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,56 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,56 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,57 days,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,57 days,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,58 days,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,59 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,62 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,63 days,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,63 days,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,63 days,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,63 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,63 days,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,63 days,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,63 days,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,64 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,64 days,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,70 days,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,70 days,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,70 days,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
