Pop,DaystoTop,Valence,Highest_Charting_Position,Number_of_Times_Charted,HighestPos
3,7 days,0.37,28,3,1
3,7 days,0.372,137,3,2
3,7 days,0.373,170,1,1
3,7 days,0.374,60,1,1
3,7 days,0.375,41,1,1
3,7 days,0.377,130,3,1
3,7 days,0.379,99,9,1
3,7 days,0.381,66,2,1
3,7 days,0.382,97,4,1
3,7 days,0.386,34,3,1
3,7 days,0.387,95,1,1
3,7 days,0.388,168,1,1
3,7 days,0.389,57,8,2
3,7 days,0.39,168,3,2
3,7 days,0.391,131,1,1
3,7 days,0.392,42,5,1
3,7 days,0.393,85,24,2
3,7 days,0.394,35,6,1
3,7 days,0.403,11,5,0
3,7 days,0.404,25,1,1
3,7 days,0.405,192,1,1
3,7 days,0.409,49,2,1
3,7 days,0.41,95,1,1
3,7 days,0.412,39,10,1
3,7 days,0.414,158,1,1
3,7 days,0.415,39,11,1
3,7 days,0.416,147,1,1
3,7 days,0.418,75,6,1
3,7 days,0.419,124,3,1
3,7 days,0.429,241,3,2
3,7 days,0.43,54,1,1
3,7 days,0.431,138,5,1
3,7 days,0.432,58,1,1
3,7 days,0.433,80,5,2
3,7 days,0.434,51,1,1
3,7 days,0.436,114,1,1
3,7 days,0.437,109,1,1
3,7 days,0.438,22,6,1
3,7 days,0.439,202,2,2
3,7 days,0.44,51,3,1
3,7 days,0.441,113,7,2
3,7 days,0.448,101,16,1
3,7 days,0.45,79,46,1
3,7 days,0.455,53,4,1
3,7 days,0.456,71,6,2
3,7 days,0.459,195,1,1
3,7 days,0.46,193,5,2
3,7 days,0.461,100,1,1
3,7 days,0.463,163,1,1
3,7 days,0.464,50,7,2
3,7 days,0.467,101,66,1
3,7 days,0.468,176,1,1
3,7 days,0.472,156,2,2
3,7 days,0.473,267,3,3
3,7 days,0.474,97,5,2
3,7 days,0.476,377,3,3
3,7 days,0.478,58,1,1
3,7 days,0.481,471,3,3
3,7 days,0.484,26,2,1
3,7 days,0.485,54,1,1
3,7 days,0.486,43,2,1
3,7 days,0.487,47,1,1
3,7 days,0.488,51,4,1
3,7 days,0.49,21,15,1
3,7 days,0.493,196,7,1
3,7 days,0.494,88,31,1
3,7 days,0.495,121,1,1
3,7 days,0.497,168,1,1
3,7 days,0.5,51,1,1
3,7 days,0.502,120,4,2
3,7 days,0.504,16,7,0
3,7 days,0.505,269,2,2
3,7 days,0.506,261,5,3
3,7 days,0.507,32,23,1
3,7 days,0.508,184,3,2
3,7 days,0.509,75,5,2
3,7 days,0.51,110,14,2
3,7 days,0.511,110,2,2
3,7 days,0.512,181,1,1
3,7 days,0.515,44,2,1
3,7 days,0.516,99,3,2
3,7 days,0.518,108,1,1
3,7 days,0.52,303,2,2
3,7 days,0.522,59,3,1
3,7 days,0.524,120,1,1
3,7 days,0.529,3,19,0
3,7 days,0.532,27,3,1
3,7 days,0.534,169,2,1
3,7 days,0.535,172,6,2
3,7 days,0.536,248,3,2
3,7 days,0.541,147,1,1
3,7 days,0.547,14,6,0
3,7 days,0.548,123,1,1
3,7 days,0.549,7,23,0
3,7 days,0.551,72,16,1
3,7 days,0.553,65,1,1
3,7 days,0.554,53,1,1
3,7 days,0.555,132,1,1
3,7 days,0.557,193,4,3
3,7 days,0.558,176,1,1
3,7 days,0.562,68,1,1
3,7 days,0.565,97,1,1
3,7 days,0.568,36,2,1
3,7 days,0.57,86,15,2
3,7 days,0.571,116,8,1
3,7 days,0.573,77,17,2
3,7 days,0.579,185,1,1
3,7 days,0.58,64,2,1
3,7 days,0.581,90,1,1
3,7 days,0.582,140,3,1
3,7 days,0.586,169,4,2
3,7 days,0.587,193,1,1
3,7 days,0.588,127,5,2
3,7 days,0.589,181,1,1
3,7 days,0.591,194,3,1
3,7 days,0.595,63,35,1
3,7 days,0.596,75,1,1
3,7 days,0.597,223,4,2
3,7 days,0.598,136,1,1
3,7 days,0.599,199,3,2
3,7 days,0.601,71,1,1
3,7 days,0.602,61,3,1
3,7 days,0.612,280,2,2
3,7 days,0.613,145,1,1
3,7 days,0.617,86,8,1
3,7 days,0.618,370,3,3
3,7 days,0.62,105,3,2
3,7 days,0.627,55,4,1
3,7 days,0.63,64,1,1
3,7 days,0.631,12,9,0
3,7 days,0.634,64,2,1
3,7 days,0.638,171,1,1
3,7 days,0.64,248,2,2
3,7 days,0.642,61,2,1
3,7 days,0.645,128,1,1
3,7 days,0.646,1,55,0
3,7 days,0.647,14,12,0
3,7 days,0.648,74,1,1
3,7 days,0.65,101,1,1
3,7 days,0.653,224,5,2
3,7 days,0.654,79,2,1
3,7 days,0.656,69,2,1
3,7 days,0.658,163,8,2
3,7 days,0.66,105,1,1
3,7 days,0.661,14,5,0
3,7 days,0.664,58,2,1
3,7 days,0.67,223,11,3
3,7 days,0.671,15,3,0
3,7 days,0.673,153,3,2
3,7 days,0.674,190,5,1
3,7 days,0.677,17,3,0
3,7 days,0.678,191,1,1
3,7 days,0.679,24,5,1
3,7 days,0.683,150,3,2
3,7 days,0.687,128,1,1
3,7 days,0.691,134,16,2
3,7 days,0.692,97,2,2
3,7 days,0.699,35,5,1
3,7 days,0.7,32,5,1
3,7 days,0.701,282,2,2
3,7 days,0.704,25,6,1
3,7 days,0.706,8,5,0
3,7 days,0.71,57,2,1
3,7 days,0.711,69,4,1
3,7 days,0.713,46,5,1
3,7 days,0.714,20,5,0
3,7 days,0.716,136,3,2
3,7 days,0.729,108,3,2
3,7 days,0.731,126,13,2
3,7 days,0.745,63,1,1
3,7 days,0.746,200,35,1
3,7 days,0.749,187,1,1
3,7 days,0.75,285,6,4
3,7 days,0.756,120,1,1
3,7 days,0.758,78,1,1
3,7 days,0.763,68,1,1
3,7 days,0.766,124,1,1
3,7 days,0.767,61,1,1
3,7 days,0.77,93,2,1
3,7 days,0.776,72,8,1
3,7 days,0.792,61,1,1
3,7 days,0.793,121,1,1
3,7 days,0.797,93,1,1
3,7 days,0.802,109,5,1
3,7 days,0.807,38,7,1
3,7 days,0.815,46,1,1
3,7 days,0.82,107,1,1
3,7 days,0.823,134,6,1
3,7 days,0.845,187,1,1
3,7 days,0.848,170,1,1
3,7 days,0.854,118,1,1
3,7 days,0.859,166,1,1
3,7 days,0.86,47,2,1
3,7 days,0.873,139,1,1
3,7 days,0.874,166,1,1
3,7 days,0.883,72,1,1
3,7 days,0.892,15,8,0
3,7 days,0.92,70,1,1
3,7 days,0.96,79,1,1
3,7 days,0.966,102,1,1
3,8 days,0.032,19,3,0
3,8 days,0.0503,77,2,1
3,8 days,0.0517,4,13,0
3,8 days,0.0743,58,4,1
3,8 days,0.132,167,1,1
3,8 days,0.152,27,8,1
3,8 days,0.161,171,1,1
3,8 days,0.196,180,1,1
3,8 days,0.229,22,18,1
3,8 days,0.232,169,1,1
3,8 days,0.246,175,1,1
3,8 days,0.247,74,1,1
3,8 days,0.272,167,1,1
3,8 days,0.277,152,1,1
3,8 days,0.311,86,1,1
3,8 days,0.346,40,4,1
3,8 days,0.363,185,1,1
3,8 days,0.369,87,1,1
3,8 days,0.377,101,1,1
3,8 days,0.381,106,4,1
3,8 days,0.393,163,1,1
3,8 days,0.405,75,5,1
3,8 days,0.429,113,1,1
3,8 days,0.443,56,2,1
3,8 days,0.445,89,1,1
3,8 days,0.451,200,1,1
3,8 days,0.467,46,2,1
3,8 days,0.485,15,21,0
3,8 days,0.495,167,1,1
3,8 days,0.512,146,1,1
3,8 days,0.524,142,4,1
3,8 days,0.528,153,2,1
3,8 days,0.536,199,1,1
3,8 days,0.551,353,2,2
3,8 days,0.556,42,17,1
3,8 days,0.56,219,4,2
3,8 days,0.609,17,15,0
3,8 days,0.629,76,3,1
3,8 days,0.65,61,39,1
3,8 days,0.711,128,3,1
3,8 days,0.717,82,2,1
3,8 days,0.725,139,1,1
3,8 days,0.726,167,2,1
3,8 days,0.727,90,1,1
3,8 days,0.745,112,1,1
3,8 days,0.763,199,1,1
3,8 days,0.77,30,9,1
3,8 days,0.775,62,17,1
3,8 days,0.784,5,11,0
3,8 days,0.8,103,1,1
3,8 days,0.806,189,1,1
3,8 days,0.809,144,1,1
3,8 days,0.818,134,1,1
3,8 days,0.916,88,1,1
3,8 days,0.925,99,3,1
3,8 days,0.961,26,20,1
3,9 days,0.199,233,4,2
3,9 days,0.227,82,1,1
3,9 days,0.244,141,1,1
3,9 days,0.285,170,1,1
3,9 days,0.383,85,8,1
3,9 days,0.384,153,1,1
3,9 days,0.455,128,3,1
3,9 days,0.523,92,3,1
3,9 days,0.594,62,4,1
3,9 days,0.636,13,21,0
3,9 days,0.697,74,1,1
3,9 days,0.709,81,3,1
3,9 days,0.767,188,1,1
3,10 days,0.13,169,1,1
3,10 days,0.235,134,1,1
3,10 days,0.33,73,6,1
3,10 days,0.381,57,3,1
3,10 days,0.427,151,5,1
3,10 days,0.455,137,2,1
3,10 days,0.508,36,21,1
3,10 days,0.754,157,1,1
3,11 days,0.151,134,1,1
3,11 days,0.198,145,5,1
3,11 days,0.351,164,1,1
3,11 days,0.405,227,8,2
3,11 days,0.56,91,3,1
3,11 days,0.562,67,5,1
3,11 days,0.64,86,5,1
